Materials,01 EN15804+A2 (EF 3.1) Klimawandel - total [kg CO2 Äquiv.],"02 EN15804+A2 (EF 3.1) Klimawandel, fossil [kg CO2 Äquiv.]",03 EN15804+A2 (EF 3.1) Klimawandel - biogen [kg CO2 Äquiv.],"04 EN15804+A2 (EF 3.1) Klimawandel, Landnutzung und Landnutzungsänderung [kg CO2 Äquiv.]",05 EN15804+A2 (EF 3.1) Ozonabbau [kg CFC-11 Äquiv.],06 EN15804+A2 (EF 3.1) Versauerung [Mole of H+ Äquiv.],"07 EN15804+A2 (EF 3.1) Eutrophierung, Frischwasser [kg P Äquiv.]","08 EN15804+A2 (EF 3.1) Eutrophierung, marine Ökosysteme [kg N Äquiv.]","09 EN15804+A2 (EF 3.1) Eutrophierung, terrestrische Ökosysteme [Mol von N-Äquiv.]","10 EN15804+A2 (EF 3.1) Fotochemisches Ozonbildungspotenzial, menschl. Gesundheit [kg NMVOC Äquiv.]","11 EN15804+A2 (EF 3.1) Ressourcenverbrauch, Mineralien und Metalle [kg Sb Äquiv.]","12 EN15804+A2 (EF 3.1) Ressourcenverbrauch, fossil [MJ]",13 EN15804+A2 (EF 3.1) Wassernutzung [m³ Weltäquiv.],01 EN15804+A2 Verbrauch von erneuerbarer Primärenergie (PERE) [MJ],02 EN15804+A2 Primärenergie zur stofflichen Nutzung (PERM) [MJ],03 EN15804+A2 Gesamtverbrauch von erneuerbarer Primärenergie (PERT) [MJ],04 EN15804+A2 Verbrauch von nicht-erneuerbarer Primärenergie (PENRE) [MJ],05 EN15804+A2 Nicht-erneuerbare Primärenergie zur stofflichen Nutzung (PENRM) [MJ],06 EN15804+A2 Gesamtverbrauch von nicht-erneuerbarer Primärenergie (PENRT) [MJ],07 EN15804+A2 Input von Sekundärwerkstoffen (SM) [kg],08 EN15804+A2 Verbrauch ern. Sekundärbrennstoffe (RSF) [MJ],09 EN15804+A2 Verbrauch nicht ern. Sekundärbrennstoffe (NRSF) [MJ],10 EN15804+A2 Frischwasserverbrauch (FW) [m3],01 EN15804+A2 Gefährlicher Abfall zur Beseitigung (HWD) [kg],02 EN15804+A2 Ungefährlicher Abfall zur Beseitigung (NHWD) [kg],03 EN15804+A2 radioaktiver Abfall zur Beseitigung (RWD) [kg],04 EN15804+A2 Komponenten für Wiederverwendung (CRU) [kg],05 EN15804+A2 Stoffe zum Recycling (MFR) [kg],06 EN15804+A2 Stoffe für die Energierückgewinnung (MER) [kg],07 EN15804+A2 Exportierte Energie elektrisch (EEE) [MJ],08 EN15804+A2 Exportierte Energie thermisch (EET) [MJ],01 EN15804+A2 Biogener Kohlenstoffgehalt im Produkt [kg],02 EN15804+A2 Biogener Kohlenstoffgehalt der Verpackung [kg],01 EN15804+A2 (EF 3.1) Feinstaub [Disease incidences],"02 EN15804+A2 (EF 3.1) Ionisierende Strahlung, Gesundheitliche Auswirkungen auf den Menschen [kBq U235 Äquiv.]","03 EN15804+A2 (EF 3.1) Ökotoxizität, Frischwasser [CTUe]","04 EN15804+A2 (EF 3.1) Humantoxizität, kanzerogen [CTUh]","05 EN15804+A2 (EF 3.1) Humantoxizität, nicht kanzerogen [CTUh]",06 EN15804+A2 (EF 3.1) Landnutzung [Pt]
Asien: Walzdraht worldsteel,2.393064705,2.39489261,-0.002156945,0.000329039,1.31E-12,0.006716898,7.82E-07,0.00123461,0.012424557,0.004273987,1.57E-06,27.18830188,0.309584762,1.143033394,0,1.143033394,27.19301164,0,27.19301164,0,0,0,0.026735176,-1.79E-08,0.026790078,4.13E-27,0,0,0,0,0,0,0,2.30E-07,0.021858758,3.026958395,1.53E-09,3.59E-09,1.619334896
AT: 2011_112 Kaindl Spanplatte + CPL Laminat ts-EPD,-18.50944119,22.76543016,-41.27487135,0,5.66E-07,0.050784436,9.71E-06,0.027798191,0.207648852,0.057017105,3.60E-06,237.5384616,1.842257812,433.0534662,0,433.0534662,237.5384952,0,237.5384952,0,0,0,0.042893081,0,0,0.004866125,0,0,0,0,0,0,0,3.88E-07,0.077671909,54.23811766,2.02E-09,1.68E-08,0.185890441
AT: 2011_112 Kaindl Spanplatte + Melaminbeschichtung ts-EPD,-11.2413397,10.78076316,-22.02210286,0,2.71E-07,0.023961805,3.32E-06,0.013084006,0.100813161,0.027707086,1.80E-06,105.1193419,0.908429634,229.8594916,0,229.8594916,105.1193602,0,105.1193602,0,0,0,0.021150865,0,0,0.002179405,0,0,0,0,0,0,0,1.79E-07,0.034752535,24.32577061,8.22E-10,7.53E-09,-0.064607055
AT: 2011_112 Kaindl: EoL Spanplatte (unspezifisch) ts-EPD,431.6404443,425.69432,5.946124332,0,-6.11E-05,-1.391603365,-0.000104614,0.313020316,3.436488703,0.673425201,-1.78E-05,-10794.20864,-16.22888394,-471.2963211,0,-471.2963211,-10794.20864,0,-10794.20864,0,0,0,-0.377855272,0,0,-0.989063937,0,0,0,0,0,0,0,-4.16E-06,-15.75458579,-836.4928562,-5.05E-09,-1.13E-06,0
AT: 2011_112 Kaindl: Spanplatte - unbehandelt ts-EPD,-665.5445142,496.498576,-1162.04309,0,1.27E-05,1.134799574,8.80E-05,0.600916869,5.033273965,1.381431773,9.04E-05,4322.527757,42.61064165,12140.97786,0,12140.97786,4322.528557,0,4322.528557,0,0,0,0.992098758,0,0,0.089651851,0,0,0,0,0,0,0,8.15E-06,1.42678167,989.7536742,3.97E-08,3.28E-07,5.042834952
AT: 2011_112_Kaindl Spanplatte + Furnierbeschichtung ts-EPD,-10.53525386,13.35954992,-23.89480379,0,2.91E-07,0.028899541,4.59E-06,0.013653148,0.117364559,0.03171722,1.87E-06,130.2843362,0.969343877,255.7926595,0,255.7926595,130.2843546,0,130.2843546,0,0,0,0.022569124,0,0,0.002521135,0,0,0,0,0,0,0,2.09E-07,0.040307597,23.13136015,3.66E-09,9.61E-09,3.007688416
AT: Aluminiumschrott anod. Aluminiumprofil (mechanisch bearb.) - Hydro Aluminium Nenzing (D aus A5) ts-EPD,-4.387707751,-4.365758166,-0.021949585,0,1.15E-08,-0.05647954,-1.03E-06,-0.003218538,-0.035188181,-0.01214349,-1.90E-06,-54.54610514,-3.387153235,-37.19004293,0,-37.19004293,-54.56277574,0,-54.56277574,0,0,0,-0.078862706,0,-1.185261023,-0.005448492,0,0,0,0,0,0,0,-5.52E-07,-0.373448449,-9.01887645,-8.44E-08,-7.29E-08,-0.090737507
AT: Aluminiumschrott anodisiertes Aluminiumprofil - Hydro Aluminium Nenzing (D aus A5) ts-EPD,-6.592042166,-6.558734376,-0.03330779,0,1.73E-08,-0.084910911,-1.55E-06,-0.004838558,-0.052899841,-0.018255876,-2.85E-06,-81.95959735,-5.091865893,-55.91156886,0,-55.91156886,-81.98466193,0,-81.98466193,0,0,0,-0.118553339,0,-1.782064755,-0.008190653,0,0,0,0,0,0,0,-8.30E-07,-0.561467315,-13.55350614,-1.27E-07,-1.10E-07,-0.136294084
AT: Aluminiumschrott anodisiertes Aluminiumprofil (wärmeisoliert) - Hydro Aluminium Nenzing (D aus A5) ts-EPD,-4.432115011,-4.409718543,-0.022396468,0,1.16E-08,-0.057089654,-1.04E-06,-0.003253192,-0.035567073,-0.012274292,-1.92E-06,-55.10504898,-3.423501872,-37.59201595,0,-37.59201595,-55.12190111,0,-55.12190111,0,0,0,-0.079709007,0,-1.198168118,-0.005506963,0,0,0,0,0,0,0,-5.58E-07,-0.377501432,-9.112632534,-8.53E-08,-7.37E-08,-0.091636214
AT: Aluminiumschrott beschichtetes Aluminiumprofil  (mech. bearb.) - Hydro Aluminium Nenzing (D aus A5) ts-EPD,-4.420946742,-4.398662664,-0.022284078,0,1.16E-08,-0.056936213,-1.04E-06,-0.003244477,-0.035471783,-0.012241396,-1.91E-06,-54.96447658,-3.414360318,-37.49092116,0,-37.49092116,-54.98128305,0,-54.98128305,0,0,0,-0.079496166,0,-1.194922029,-0.005492257,0,0,0,0,0,0,0,-5.57E-07,-0.376482121,-9.08905321,-8.51E-08,-7.35E-08,-0.091410192
